"alpha","omega.tot","omega.hier","ASE","g","coded_data_index","replication_success"
0.670862372833916,NA,NA,0.0527424051867057,"Caruso et al. (2012)",10,"No"
0.562048373541002,0.652075126494913,0.5288517108181,0.0631490434343937,"Caruso et al. (2012)",10,"No"
0.63372950056889,NA,NA,0.0638635349364136,"Caruso et al. (2012)",10,"No"
0.824861494856483,0.873255013147616,0.641874425565816,0.0282761989524274,"Caruso et al. (2012)",10,"No"
0.762201732345695,0.82710247947617,0.594747104197673,0.0374868567064621,"Caruso et al. (2012)",10,"No"
0.57425645510323,0.678995301639479,0.234463073729207,0.0672790593543425,"Caruso et al. (2012)",10,"No"
0.798417830574717,0.859744006399746,0.637611263393639,0.0336228583606687,"Caruso et al. (2012)",10,"No"
0.783350845803944,0.834522780397267,0.581313048985586,0.025338613180516,"Caruso et al. (2012)",10,"No"
0.69421422215391,0.762369153107831,0.566368849550023,0.0439050484727427,"Caruso et al. (2012)",10,"No"
0.751247325057398,0.82260112334884,0.590066594578128,0.036341798932382,"Caruso et al. (2012)",10,"No"
0.71239461129229,0.770366066124116,0.429880252188781,0.0261695990343618,"Caruso et al. (2012)",10,"No"
0.776579726410255,0.826256512757759,0.587731876710741,0.0284639249790953,"Caruso et al. (2012)",10,"No"
0.762190754684011,NA,NA,0.0373635875981256,"Caruso et al. (2012)",10,"No"
0.765342258495626,0.843971466658277,0.474890848725899,0.0380677190237389,"Caruso et al. (2012)",10,"No"
0.860891986383893,0.903689117046646,0.697503767413976,0.00679829749658396,"Caruso et al. (2012)",10,"No"
0.770445173456177,0.827971267750652,0.475762804768861,0.0343709640792711,"Caruso et al. (2012)",10,"No"
0.79189980547887,NA,NA,0.029233818204657,"Caruso et al. (2012)",10,"No"
0.762726916493496,0.830589110288732,0.575551021831155,0.0100127923571538,"Caruso et al. (2012)",10,"No"
0.639720045219229,0.739113208156516,0.262114148081357,0.0568608908442027,"Caruso et al. (2012)",10,"No"
0.68501833106706,NA,NA,0.0460772800201942,"Caruso et al. (2012)",10,"No"
0.699269004250834,0.806029895792925,0.473444007086688,0.0492258068194455,"Caruso et al. (2012)",10,"No"
0.773307534469614,NA,NA,0.0268605967497694,"Caruso et al. (2012)",10,"No"
0.606201229401197,NA,NA,0.0743598493494005,"Caruso et al. (2012)",10,"No"
0.722871894572149,0.800660461804403,0.556927315631279,0.0329401495358526,"Caruso et al. (2012)",10,"No"
0.719405939623437,0.800198288869321,0.539467153616937,0.0324651066241254,"Caruso et al. (2012)",10,"No"
0.751502109442334,0.817710737061459,0.455678173350633,0.0431101152526561,"Caruso et al. (2012)",10,"No"
0.767467388833218,0.821637970016348,0.536683132998393,0.0234678693282413,"Caruso et al. (2012)",10,"No"
0.786467662486231,0.858980432858258,0.507574886802182,0.0368027084013788,"Caruso et al. (2012)",10,"No"
0.75231632508717,0.832286084835902,0.481523715873754,0.033909349829266,"Caruso et al. (2012)",10,"No"
0.758919941518485,0.830965415897546,0.597374359138959,0.0325003051903359,"Caruso et al. (2012)",10,"No"
0.748299389723586,0.816896461150269,0.517870502956525,0.043348224456048,"Caruso et al. (2012)",10,"No"
0.717862845617074,0.782814255873936,0.408525230907549,0.0450206684741167,"Caruso et al. (2012)",10,"No"
0.652896562634313,0.759592288233572,0.304234182144915,0.0568237173238059,"Caruso et al. (2012)",10,"No"
0.754170896634614,0.821235500499887,0.592114228395119,0.0371847001699064,"Caruso et al. (2012)",10,"No"
0.814563352649132,0.86907121182352,0.562870430763268,0.0294258600777425,"Caruso et al. (2012)",10,"No"
0.747020859116424,NA,NA,0.0403494043315954,"Caruso et al. (2012)",10,"No"
0.839801279016686,NA,NA,0.0315600254871651,"Husnu & Crisp (2010)",11,"Yes"
0.863857662488447,NA,NA,0.0208038125084619,"Husnu & Crisp (2010)",11,"Yes"
0.71605464857005,NA,NA,0.0504280507885378,"Husnu & Crisp (2010)",11,"Yes"
0.808828991319099,NA,NA,0.0352992249649539,"Husnu & Crisp (2010)",11,"Yes"
0.877681940040306,NA,NA,0.0219391691230626,"Husnu & Crisp (2010)",11,"Yes"
0.814545041463948,NA,NA,0.0313119532412571,"Husnu & Crisp (2010)",11,"Yes"
0.857485344620883,NA,NA,0.0264966923459321,"Husnu & Crisp (2010)",11,"Yes"
0.844391886910667,0.869040895644833,0.832974565472741,0.0208319324290018,"Husnu & Crisp (2010)",11,"Yes"
0.67594245821983,NA,NA,0.0512518778186218,"Husnu & Crisp (2010)",11,"Yes"
0.866151129495588,NA,NA,0.022060583052246,"Husnu & Crisp (2010)",11,"Yes"
0.835379504706569,NA,NA,0.0171197005170701,"Husnu & Crisp (2010)",11,"Yes"
0.809617034898786,0.854360381307269,0.773638198652175,0.0270790846157862,"Husnu & Crisp (2010)",11,"Yes"
0.847554419318313,0.866588951601819,0.819975465889172,0.0253812677068928,"Husnu & Crisp (2010)",11,"Yes"
0.83036352893712,NA,NA,0.0332787308619685,"Husnu & Crisp (2010)",11,"Yes"
0.85190031941235,NA,NA,0.00792051599605083,"Husnu & Crisp (2010)",11,"Yes"
0.850743757153069,0.871484315013774,0.829506375582158,0.0245352989796069,"Husnu & Crisp (2010)",11,"Yes"
0.779731037385288,NA,NA,0.0344745635211751,"Husnu & Crisp (2010)",11,"Yes"
0.830573579174224,0.860294886101817,0.816052766744115,0.0080070272985172,"Husnu & Crisp (2010)",11,"Yes"
0.810330964739647,NA,NA,0.0334325920212441,"Husnu & Crisp (2010)",11,"Yes"
0.855565031777132,0.905311208339285,0.810922524523631,0.0245384253215373,"Husnu & Crisp (2010)",11,"Yes"
0.854240749877311,NA,NA,0.0265930328798985,"Husnu & Crisp (2010)",11,"Yes"
0.842798562424887,NA,NA,0.0218511779666775,"Husnu & Crisp (2010)",11,"Yes"
0.767868010263424,NA,NA,0.042659362965142,"Husnu & Crisp (2010)",11,"Yes"
0.807163449879803,NA,NA,0.0252808661580773,"Husnu & Crisp (2010)",11,"Yes"
0.855832254753303,NA,NA,0.0191641405716519,"Husnu & Crisp (2010)",11,"Yes"
0.843074660618962,NA,NA,0.0284803475078915,"Husnu & Crisp (2010)",11,"Yes"
0.813601095781664,NA,NA,0.0209269408048732,"Husnu & Crisp (2010)",11,"Yes"
0.810758592772975,NA,NA,0.0379812255604315,"Husnu & Crisp (2010)",11,"Yes"
0.797160008428543,NA,NA,0.0309737012340049,"Husnu & Crisp (2010)",11,"Yes"
0.839877796875676,0.867800168149922,0.805688361706444,0.0223108729276802,"Husnu & Crisp (2010)",11,"Yes"
0.825397305333935,0.861185201268353,0.776301677993437,0.0332191951971589,"Husnu & Crisp (2010)",11,"Yes"
0.840539791932715,NA,NA,0.026956984080732,"Husnu & Crisp (2010)",11,"Yes"
0.830012743992173,0.850626208001083,0.816530037684985,0.0298882565200162,"Husnu & Crisp (2010)",11,"Yes"
0.855686038016209,0.871555755495378,0.845838906617909,0.0237416565400056,"Husnu & Crisp (2010)",11,"Yes"
0.733161719816349,NA,NA,0.0506541816394823,"Husnu & Crisp (2010)",11,"Yes"
0.845519500795362,NA,NA,0.0281824790837985,"Husnu & Crisp (2010)",11,"Yes"
0.90137358234932,0.940578594520109,0.80739334640106,0.0175061548303502,"Nosek et al. (2002), Math",14,"Yes"
0.802031982026998,0.886978131904459,0.695639385408296,0.0295358331884315,"Nosek et al. (2002), Math",14,"Yes"
0.851990849325151,NA,NA,0.0271809424699616,"Nosek et al. (2002), Math",14,"Yes"
0.897163390203077,0.930860636536541,0.765995833412295,0.0174211020825723,"Nosek et al. (2002), Math",14,"Yes"
0.902014263317479,0.934368620941082,0.816100093227109,0.0157711800516146,"Nosek et al. (2002), Math",14,"Yes"
0.946372096380941,0.96308850015783,0.907396541582822,0.00824797233764389,"Nosek et al. (2002), Math",14,"Yes"
0.895220869394405,0.940678986465009,0.781203064489717,0.0178837243915229,"Nosek et al. (2002), Math",14,"Yes"
0.938838328240234,0.956899944951488,0.860118313818232,0.00732204602700487,"Nosek et al. (2002), Math",14,"Yes"
0.903963995869659,0.932554831634429,0.820674258122131,0.0149203153333914,"Nosek et al. (2002), Math",14,"Yes"
0.91202874826962,0.946935511975196,0.868466767454015,0.0137903893254984,"Nosek et al. (2002), Math",14,"Yes"
0.895885718901882,NA,NA,0.0105829577861437,"Nosek et al. (2002), Math",14,"Yes"
0.879891058750667,0.931977559372934,0.815881915925962,0.0153787219920637,"Nosek et al. (2002), Math",14,"Yes"
0.918705731239966,NA,NA,0.0133135596937128,"Nosek et al. (2002), Math",14,"Yes"
0.888423961026633,NA,NA,0.020245797029919,"Nosek et al. (2002), Math",14,"Yes"
0.916384210931716,0.937515034725784,0.858132891073422,0.00428376792649863,"Nosek et al. (2002), Math",14,"Yes"
0.901496528286716,NA,NA,0.0154596500864881,"Nosek et al. (2002), Math",14,"Yes"
0.891571505967656,0.94495862480771,0.80676247762624,0.0155679985745086,"Nosek et al. (2002), Math",14,"Yes"
0.887586252378524,0.925459471219204,0.8000776195926,0.00502267552951612,"Nosek et al. (2002), Math",14,"Yes"
0.913450821939635,0.966408388721983,0.885612106513573,0.0147510223863524,"Nosek et al. (2002), Math",14,"Yes"
0.884247880808947,0.94595205929139,0.750613041141876,0.0179252707177557,"Nosek et al. (2002), Math",14,"Yes"
0.915519988772925,0.946405803926298,0.85763510262511,0.0143385526255314,"Nosek et al. (2002), Math",14,"Yes"
0.873335123944926,NA,NA,0.016239846751547,"Nosek et al. (2002), Math",14,"Yes"
0.909934293216649,0.949458201927645,0.756144621904394,0.0174236963809646,"Nosek et al. (2002), Math",14,"Yes"
0.868454579215023,NA,NA,0.0179194577160391,"Nosek et al. (2002), Math",14,"Yes"
0.914458212960242,0.943527692936444,0.852931558498101,0.00991587717729893,"Nosek et al. (2002), Math",14,"Yes"
0.909163087731574,NA,NA,0.0155068336986204,"Nosek et al. (2002), Math",14,"Yes"
0.940610880429134,0.96282569580835,0.870754627227562,0.00638152437856857,"Nosek et al. (2002), Math",14,"Yes"
0.90614691912875,0.934087014249307,0.857378798966015,0.0167074616172619,"Nosek et al. (2002), Math",14,"Yes"
0.917677671935855,0.945463112544576,0.84116693586812,0.0113330608976835,"Nosek et al. (2002), Math",14,"Yes"
0.911727262905449,0.943617867959758,0.837547146724543,0.0116275509594671,"Nosek et al. (2002), Math",14,"Yes"
0.902427870836046,0.933893581215561,0.840269974042724,0.0183332389286716,"Nosek et al. (2002), Math",14,"Yes"
0.849501811618408,0.906220734947032,0.829441032215542,0.0234061709482224,"Nosek et al. (2002), Math",14,"Yes"
0.90155525274275,NA,NA,0.0165417179992878,"Nosek et al. (2002), Math",14,"Yes"
0.905804365282239,0.946522887144386,0.81214434663668,0.0145654104454299,"Nosek et al. (2002), Math",14,"Yes"
0.892304171569755,0.933447403448682,0.80779757277326,0.0194788932824386,"Nosek et al. (2002), Math",14,"Yes"
0.85435865567043,0.92615042153994,0.690699635299846,0.0254830885056988,"Nosek et al. (2002), Math",14,"Yes"
0.952657542327082,0.965614364189435,0.90754814351505,0.00799462179678169,"Nosek et al. (2002), Art",14,"Yes"
0.925042934343505,0.945295053497774,0.890355490680355,0.0111512046778169,"Nosek et al. (2002), Art",14,"Yes"
0.948758624811117,NA,NA,0.00872835727446152,"Nosek et al. (2002), Art",14,"Yes"
0.944957486402987,0.962905512994672,0.890753481559222,0.00906465787851377,"Nosek et al. (2002), Art",14,"Yes"
0.968599518852012,NA,NA,0.00496170983224519,"Nosek et al. (2002), Art",14,"Yes"
0.944651920262691,0.969473866913228,0.887890857288601,0.00848299241034467,"Nosek et al. (2002), Art",14,"Yes"
0.958733396526577,0.977740956639019,0.933710658562154,0.00689041809449671,"Nosek et al. (2002), Art",14,"Yes"
0.966248774642401,NA,NA,0.00402651924889731,"Nosek et al. (2002), Art",14,"Yes"
0.959864322259164,NA,NA,0.0061763227833381,"Nosek et al. (2002), Art",14,"Yes"
0.934215495247974,0.954902157820418,0.845403675563224,0.0100302847072332,"Nosek et al. (2002), Art",14,"Yes"
0.945177496803796,0.9576564290979,0.915255025851653,0.00541368913159968,"Nosek et al. (2002), Art",14,"Yes"
0.954116140167971,0.96686077956532,0.937117885177488,0.00596633474249247,"Nosek et al. (2002), Art",14,"Yes"
0.950706886877594,0.966732417654386,0.893286349473524,0.00795227951438557,"Nosek et al. (2002), Art",14,"Yes"
0.949037122231689,0.975373356368447,0.913608468752852,0.00878681317627704,"Nosek et al. (2002), Art",14,"Yes"
0.955215260591212,0.969499329081294,0.908639554080417,0.00225588708668182,"Nosek et al. (2002), Art",14,"Yes"
0.941730399889513,0.963662647129239,0.890411991026017,0.00890642349437351,"Nosek et al. (2002), Art",14,"Yes"
0.933648935552928,NA,NA,0.00954272079894497,"Nosek et al. (2002), Art",14,"Yes"
0.955133806606057,0.969893455795364,0.902783067150172,0.00197080402222374,"Nosek et al. (2002), Art",14,"Yes"
0.958298895521174,0.967914396056217,0.927342057385716,0.00666016808417462,"Nosek et al. (2002), Art",14,"Yes"
0.957133094858814,0.972644469069399,0.916783979806594,0.00662663911893649,"Nosek et al. (2002), Art",14,"Yes"
0.956851421551873,0.971535035290732,0.911033307989752,0.0074726743931158,"Nosek et al. (2002), Art",14,"Yes"
0.955510382757829,NA,NA,0.00564792208464625,"Nosek et al. (2002), Art",14,"Yes"
0.957009923895991,0.972168400696686,0.919481765357381,0.00786719109399598,"Nosek et al. (2002), Art",14,"Yes"
0.94968493015283,0.972696084204755,0.888648117056987,0.00626918037312202,"Nosek et al. (2002), Art",14,"Yes"
0.951759463775973,0.969280100471681,0.895435243078892,0.00553621650585009,"Nosek et al. (2002), Art",14,"Yes"
0.939013108843371,0.962451389631698,0.870347221601048,0.0105667868806931,"Nosek et al. (2002), Art",14,"Yes"
0.956713843367751,0.977383441489654,0.909217941201853,0.00452826218454984,"Nosek et al. (2002), Art",14,"Yes"
0.911284672650215,0.940786116186406,0.899792340398257,0.015459059169775,"Nosek et al. (2002), Art",14,"Yes"
0.94838802772956,0.973984723192063,0.872837423810857,0.00755889877288457,"Nosek et al. (2002), Art",14,"Yes"
0.959219426573013,0.975014178875899,0.920111908709047,0.00542002117662622,"Nosek et al. (2002), Art",14,"Yes"
0.931935171082868,0.94537724032741,0.858689165862868,0.0116952700278025,"Nosek et al. (2002), Art",14,"Yes"
0.957441261655043,NA,NA,0.00656150037090357,"Nosek et al. (2002), Art",14,"Yes"
0.94812611824216,0.971599123391755,0.886977590993542,0.00829843798290893,"Nosek et al. (2002), Art",14,"Yes"
0.948519707842213,0.964551880385563,0.911882709305969,0.00806197495885987,"Nosek et al. (2002), Art",14,"Yes"
0.961969779917209,0.976401493417973,0.930926349919823,0.00627433028217763,"Nosek et al. (2002), Art",14,"Yes"
0.923996031795775,NA,NA,0.0136606784700198,"Nosek et al. (2002), Art",14,"Yes"
0.840636199894356,NA,NA,0.0281979721447985,"Anderson et al. (2012), SWL",29,"No"
0.840271575518767,0.885651268911795,0.792770726731654,0.0406399045855685,"Anderson et al. (2012), SWL",29,"No"
0.825049517318441,NA,NA,0.0318468114883647,"Anderson et al. (2012), SWL",29,"No"
0.87690838197286,0.91767813054443,0.81797894645833,0.0171102114602424,"Anderson et al. (2012), SWL",29,"No"
0.826229261615329,0.867277237473391,0.807333329738218,0.0280221236911055,"Anderson et al. (2012), SWL",29,"No"
0.838216745998782,0.876637577222847,0.7966781498673,0.0322108382481924,"Anderson et al. (2012), SWL",29,"No"
0.857695269094318,NA,NA,0.0290336423015899,"Anderson et al. (2012), SWL",29,"No"
0.806810787968411,0.875415702091526,0.652222453699561,0.0294867588248408,"Anderson et al. (2012), SWL",29,"No"
0.867808121446408,0.902731708056472,0.796876473744729,0.0240993588541941,"Anderson et al. (2012), SWL",29,"No"
0.564194129861541,0.856313901744334,0.431367813608017,0.212058892996047,"Anderson et al. (2012), SWL",29,"No"
0.860769064396093,NA,NA,0.0234592351895944,"Anderson et al. (2012), SWL",29,"No"
0.791324130321781,0.900668978147354,0.615902644882172,0.0373901228633439,"Anderson et al. (2012), SWL",29,"No"
0.580457260406659,NA,NA,0.138433516291021,"Anderson et al. (2012), SWL",29,"No"
0.881780023471563,NA,NA,0.0177070787447236,"Anderson et al. (2012), SWL",29,"No"
0.880089174919025,NA,NA,0.0197781118980222,"Anderson et al. (2012), SWL",29,"No"
0.69262904564295,0.807634811996815,0.584635769002485,0.126036108940398,"Anderson et al. (2012), SWL",29,"No"
0.860471681047155,NA,NA,0.0222711493660651,"Anderson et al. (2012), SWL",29,"No"
0.899820861550734,0.937635447867306,0.814333328792102,0.0326918697334037,"Anderson et al. (2012), SWL",29,"No"
0.77244713735957,NA,NA,0.032325996623585,"Anderson et al. (2012), SWL",29,"No"
0.875988259783475,0.902004492620373,0.815993918958871,0.0228083013436969,"Anderson et al. (2012), SWL",29,"No"
0.873336022566402,NA,NA,0.030296528247344,"Anderson et al. (2012), SWL",29,"No"
0.697084334364869,0.873686195054779,0.405856825843578,0.111334381388026,"Anderson et al. (2012), SWL",29,"No"
0.894129040186206,NA,NA,0.019481120401442,"Anderson et al. (2012), SWL",29,"No"
0.86671971053511,NA,NA,0.0198165289173264,"Anderson et al. (2012), SWL",29,"No"
0.812466378399281,0.855173973743796,0.812348419678293,0.0297579900909233,"Anderson et al. (2012), SWL",29,"No"
0.80428995912977,0.842352520824327,0.6966040585139,0.0309578236302237,"Anderson et al. (2012), SWL",29,"No"
0.823009541988151,NA,NA,0.0339003149293795,"Anderson et al. (2012), SWL",29,"No"
0.578121781365746,NA,NA,0.145600125649626,"Anderson et al. (2012), SWL",29,"No"
0.825490045544574,NA,NA,0.0568834492097491,"Anderson et al. (2012), SWL",29,"No"
0.929517485794785,NA,NA,0.00685441795388116,"Anderson et al. (2012), SWL",29,"No"
0.873406795860568,NA,NA,0.0116998964492217,"Anderson et al. (2012), SWL",29,"No"
0.830503562735016,NA,NA,0.0397590706160772,"Anderson et al. (2012), SWL",29,"No"
0.83934506887882,NA,NA,0.032102968105248,"Anderson et al. (2012), SWL",29,"No"
0.870549047313582,NA,NA,0.0319623235280676,"Anderson et al. (2012), SWL",29,"No"
0.847081733290975,NA,NA,0.0310207646366884,"Anderson et al. (2012), SWL",29,"No"
0.672088589928754,NA,NA,0.0594067879480665,"Anderson et al. (2012), SWL",29,"No"
0.864932784674913,0.92853986121999,0.786869518932252,0.0385169716879459,"Anderson et al. (2012), SWL",29,"No"
0.813694065834074,NA,NA,0.0318233409088527,"Anderson et al. (2012), SWL",29,"No"
0.78954069918759,0.849943501434686,0.57636953900992,0.0503133715324311,"Anderson et al. (2012), SWL",29,"No"
0.793087642948852,NA,NA,0.0358309992318441,"Anderson et al. (2012), SWL",29,"No"
0.827706527361136,0.871651880242697,0.739760470890204,0.0307768664147566,"Anderson et al. (2012), SWL",29,"No"
0.863058079335702,0.9036949077866,0.851331463464099,0.0257649957218625,"Anderson et al. (2012), SWL",29,"No"
0.856122319294826,NA,NA,0.0262171619970636,"Anderson et al. (2012), SWL",29,"No"
0.845309932054247,NA,NA,0.0283698983047442,"Anderson et al. (2012), SWL",29,"No"
0.756984039933756,0.81480980805622,0.722847291179606,0.0342626465268206,"Anderson et al. (2012), SWL",29,"No"
0.843124733452905,NA,NA,0.0209519901673303,"Anderson et al. (2012), SWL",29,"No"
0.754772361252518,0.81628524684247,0.622176275740979,0.051945611974772,"Anderson et al. (2012), SWL",29,"No"
0.860201683266176,NA,NA,0.0242666505951154,"Anderson et al. (2012), SWL",29,"No"
0.885926632152342,NA,NA,0.0192667603019242,"Anderson et al. (2012), SWL",29,"No"
0.882067512703948,NA,NA,0.0203510112074441,"Anderson et al. (2012), SWL",29,"No"
0.824955797688535,0.869631716018224,0.679048599854034,0.03317511092634,"Anderson et al. (2012), SWL",29,"No"
0.816478948773047,0.868971781696458,0.687787307626765,0.0340774670997714,"Anderson et al. (2012), SWL",29,"No"
0.840193267907882,NA,NA,0.0143081737710395,"Anderson et al. (2012), SWL",29,"No"
0.870382447861447,NA,NA,0.0228899695075111,"Anderson et al. (2012), SWL",29,"No"
0.834441019802311,NA,NA,0.0302870666012754,"Anderson et al. (2012), SWL",29,"No"
0.900457016051317,0.926810505730064,0.829084810159927,0.0210809727377953,"Anderson et al. (2012), SWL",29,"No"
0.884457073669576,0.910331678299169,0.837096810275367,0.0202683633154779,"Anderson et al. (2012), SWL",29,"No"
0.88717203966869,NA,NA,0.0216947432890066,"Anderson et al. (2012), SWL",29,"No"
0.842472225844813,NA,NA,0.0257029435282283,"Anderson et al. (2012), SWL",29,"No"
0.841336403913905,NA,NA,0.0185953221997622,"Anderson et al. (2012), SWL",29,"No"
0.855479616580538,NA,NA,0.0244493499041293,"Anderson et al. (2012), SWL",29,"No"
0.86010973196668,NA,NA,0.0198549029316656,"Anderson et al. (2012), SWL",29,"No"
0.839456371187304,NA,NA,0.0295507810796265,"Anderson et al. (2012), SWL",29,"No"
0.785650023490224,0.857934413573028,0.62138553317041,0.0628119053914302,"Anderson et al. (2012), SWL",29,"No"
0.846416918919128,NA,NA,0.0289585556021074,"Anderson et al. (2012), SWL",29,"No"
0.836097666561283,0.863643447200696,0.794106881872159,0.0287627541760337,"Anderson et al. (2012), SWL",29,"No"
0.835148941211577,NA,NA,0.0275792937484426,"Anderson et al. (2012), SWL",29,"No"
0.849912505174349,NA,NA,0.0276490034207367,"Anderson et al. (2012), SWL",29,"No"
0.867485424571273,NA,NA,0.0259020691804742,"Anderson et al. (2012), SWL",29,"No"
0.846381563042521,0.872046362989625,0.821055214240867,0.0234849375884094,"Anderson et al. (2012), SWL",29,"No"
0.845990133853546,0.88277529429158,0.798537670817934,0.0210321255683629,"Anderson et al. (2012), SWL",29,"No"
0.896853336199959,NA,NA,0.0202492783321995,"Anderson et al. (2012), SWL",29,"No"
0.808904096384993,0.867613845433261,0.736780987522898,0.0320777335753176,"Anderson et al. (2012), SWL",29,"No"
0.842187203331948,NA,NA,0.0289903520417293,"Anderson et al. (2012), SWL",29,"No"
0.826127296043095,NA,NA,0.0275323052276723,"Anderson et al. (2012), PA",30,"No"
0.873528149822051,NA,NA,0.0315557828593729,"Anderson et al. (2012), PA",30,"No"
0.885307213007951,NA,NA,0.0192916005785312,"Anderson et al. (2012), PA",30,"No"
0.876576202533507,NA,NA,0.0158648934177737,"Anderson et al. (2012), PA",30,"No"
0.838651315521367,NA,NA,0.0226037968450532,"Anderson et al. (2012), PA",30,"No"
0.84826106802959,0.891485487581025,0.570497687681808,0.0273352672071917,"Anderson et al. (2012), PA",30,"No"
0.862436339876234,NA,NA,0.0239161111229568,"Anderson et al. (2012), PA",30,"No"
0.893766873024095,0.918072094513944,0.797181535684073,0.015234837420602,"Anderson et al. (2012), PA",30,"No"
