"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"many_labs_version","integer",154,0,4,3.35064935064935,3,3,NA,0.966987556830456,NA,2,5,3,0.379640872968595,0.970954180477087,-0.831535828289075,-1.06992223872739,NA,NA
"rep_org","factor",154,0,3,NA,NA,77,"Original",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"title","factor",154,0,119,NA,NA,4,"Increasing and Decreasing Motor and Cognitive Output: A Model of General Action and Inaction Goals",NA,0.989795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA
"measure_name","factor",154,0,153,NA,NA,2,"moral foundation questionnaire",NA,0.993337831000169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"variable_name","factor",154,0,125,NA,NA,4,"framing effect",NA,0.990723562152134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"multi","factor",154,0,3,NA,NA,123,"False",NA,0.321555068308315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appearance","factor",154,0,5,NA,NA,113,"1",NA,0.411283521673132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","integer",152,0.012987012987013,108,54.8618421052632,52.5,52.5,NA,31.4872095007971,NA,1,109,108,0.0538119392772817,0.136747674325736,-1.19621330972099,-1.52942685464873,NA,NA
"N_items","factor",154,0,4,NA,NA,73,"multiple item measure",NA,0.553297351998651,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hypothesis_support","factor",154,0,4,NA,NA,80,"No",NA,0.533648170011807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type","factor",154,0,6,NA,NA,78,"",NA,0.588210490807893,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type_text","factor",77,0.5,4,NA,NA,77,NA,NA,0.0509360769101028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_coeff","integer",152,0.012987012987013,15,2.00657894736842,1,1,NA,3.39164675181397,NA,1,18,17,3.34330027885487,8.49604277129263,10.0702149002197,12.8753433650325,NA,NA
"def1","logical",140,0.0909090909090909,3,NA,NA,92,"TRUE",NA,0.450612244897959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_version","factor",154,0,24,NA,NA,132,"",NA,0.264378478664193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1","logical",152,0.012987012987013,3,NA,NA,118,"TRUE",NA,0.347299168975069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2","logical",154,0,3,NA,NA,88,"TRUE",NA,0.489795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_3","logical",154,0,3,NA,NA,131,"TRUE",NA,0.254090065778378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_4","logical",154,0,3,NA,NA,114,"TRUE",NA,0.384550514420644,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5","logical",153,0.00649350649350649,3,NA,NA,94,"TRUE",NA,0.473834849844077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_existing","factor",154,0,4,NA,NA,101,"True, namely:",NA,0.495277449822904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_existing_text","factor",154,0,101,NA,NA,53,"",NA,0.877129364142351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1","logical",153,0.00649350649350649,3,NA,NA,99,"TRUE",NA,0.456747404844291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_2","logical",154,0,3,NA,NA,106,"TRUE",NA,0.429077416090403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3","logical",74,0.519480519480519,3,NA,NA,80,NA,NA,0.0777940102264427,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_4","logical",75,0.512987012987013,3,NA,NA,79,NA,NA,0.2688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence","factor",154,0,4,NA,NA,76,"None",NA,0.512734019227526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1","logical",152,0.012987012987013,3,NA,NA,130,"TRUE",NA,0.247576177285319,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2","logical",132,0.142857142857143,3,NA,NA,102,"TRUE",NA,0.351239669421488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3","logical",43,0.720779220779221,3,NA,NA,111,NA,NA,0.47809626825311,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_4","logical",92,0.402597402597403,3,NA,NA,62,NA,NA,0.496219281663516,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check","factor",154,0,4,NA,NA,63,"None Reported",NA,0.6350986675662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1","logical",40,0.74025974025974,3,NA,NA,114,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2","logical",27,0.824675324675325,3,NA,NA,127,NA,NA,0.301783264746228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3","logical",49,0.681818181818182,3,NA,NA,105,NA,NA,0.489795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4","logical",30,0.805194805194805,3,NA,NA,124,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5","logical",32,0.792207792207792,3,NA,NA,122,NA,NA,0.341796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6","logical",25,0.837662337662338,3,NA,NA,129,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_time","factor",154,0,5,NA,NA,91,"",NA,0.498819362455726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1_REV","logical",154,0,3,NA,NA,147,"TRUE",NA,0.0867768595041321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2_REV","logical",154,0,3,NA,NA,127,"TRUE",NA,0.289171867093945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5_REV","logical",154,0,3,NA,NA,104,"TRUE",NA,0.438522516444594,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1_REV","logical",154,0,3,NA,NA,149,"TRUE",NA,0.0628267836060044,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3_REV","logical",69,0.551948051948052,3,NA,NA,85,NA,NA,0.305818105440034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_REV","factor",154,0,5,NA,NA,85,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.549924101872154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_text_REV","factor",154,0,7,NA,NA,145,"",NA,0.112582222971833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1_REV","logical",152,0.012987012987013,3,NA,NA,137,"TRUE",NA,0.177891274238227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2_REV","logical",142,0.0779220779220779,3,NA,NA,125,"TRUE",NA,0.210771672287245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3_REV","logical",41,0.733766233766234,3,NA,NA,113,NA,NA,0.49970255800119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check_REV","factor",154,0,4,NA,NA,101,"False",NA,0.464074886152808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1_REV","logical",19,0.876623376623377,2,NA,NA,135,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2_REV","logical",7,0.954545454545455,3,NA,NA,147,NA,NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3_REV","logical",30,0.805194805194805,3,NA,NA,124,NA,NA,0.0644444444444445,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4_REV","logical",15,0.902597402597403,3,NA,NA,139,NA,NA,0.231111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5_REV","logical",20,0.87012987012987,3,NA,NA,134,NA,NA,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6_REV","logical",15,0.902597402597403,3,NA,NA,139,NA,NA,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inseperable_material","factor",154,0,3,NA,NA,82,"True",NA,0.49789171867094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"def_count","numeric",154,0,2,0.597402597402597,1,1,NA,0.492021049014113,NA,0,1,1,-0.39335761426379,-1.00603556462561,-1.8572033260814,-2.38963021533473,NA,NA
"def_total","numeric",154,0,2,0.909090909090909,1,1,NA,0.288417733621118,NA,0,1,1,-2.81837367982517,-7.20815881908272,5.98220188902007,7.69719189465222,NA,NA
"def_ratio","numeric",154,0,2,0.311688311688312,0,0,NA,0.464694439199863,NA,0,1,1,0.805212498186867,2.05937899987816,-1.36033998622059,-1.75032506594719,NA,NA
"op_count","numeric",154,0,6,3.53896103896104,4,4,NA,1.25314306483968,NA,0,5,5,-0.651999186622145,-1.66752681545646,-0.43206701950639,-0.555932885948773,NA,NA
"op_total","numeric",154,0,2,4.98051948051948,5,5,NA,0.138657391317768,NA,4,5,1,-6.8860263360702,-17.611423147359,45.714331230823,58.81981022158,NA,NA
"op_ratio","numeric",154,0,8,0.289935064935065,0.2,0.2,NA,0.249730565275863,NA,0,1,1,0.670486661609346,1.71480963562523,-0.409131856613314,-0.526422623139499,NA,NA
"sel_count","numeric",154,0,5,1.42857142857143,2,2,NA,0.91363772555506,NA,0,4,4,-0.0198091562913127,-0.0506630989502681,-0.408800532059137,-0.525996313777125,NA,NA
"sel_total","numeric",154,0,4,2.96103896103896,2,2,NA,1.00899948426966,NA,1,4,3,0.0392903645655895,0.100487451282896,-1.95031511028366,-2.50943547833893,NA,NA
"sel_ratio","numeric",154,0,6,0.472943506493506,0.5,0.5,NA,0.360782126045483,NA,0,1,1,0.00724732235540509,0.0185354592702871,-1.25848623118496,-1.61927166583726,NA,NA
"quant_count","numeric",154,0,5,1.94155844155844,2,2,NA,0.930507016104542,NA,0,4,4,0.114905142552079,0.293876756859332,0.236133198889983,0.303828352548631,NA,NA
"quant_total","numeric",154,0,4,2.72077922077922,2.5,2.5,NA,0.896593066785897,NA,1,4,3,0.246671238814194,0.630876408689315,-1.20023716584267,-1.54432363801381,NA,NA
"quant_ratio","numeric",154,0,7,0.232140909090909,0,0,NA,0.317426550119452,NA,0,1,1,1.08043919753011,2.76328770237538,-0.06052680523766,-0.0778787549012034,NA,NA
"mod_count","numeric",154,0,5,0.571428571428571,0,0,NA,0.989204095842019,NA,0,4,4,1.73488481453872,4.43707140948949,2.3381703835843,3.00848190327276,NA,NA
"mod_total","numeric",154,0,7,1.31818181818182,0,0,NA,1.8566416566575,NA,0,6,6,0.976657651995406,2.4978602084774,-0.538738511006325,-0.693185181173176,NA,NA
"mod_ratio","numeric",59,0.616883116883117,10,0.590115254237288,0.6,0.6,NA,0.273919252394318,NA,0,1,1,-0.304322970843516,-0.488987783573602,-0.126963222370022,-0.103515549914105,NA,NA
"MP_total","numeric",154,0,13,12.8896103896104,13,13,NA,2.65822607396051,NA,8,20,12,0.346132509681447,0.885254542394934,-0.533459655061113,-0.686392971891656,NA,NA
"MP_count","numeric",154,0,14,8.07792207792208,8.5,8.5,NA,2.70688414931449,NA,1,15,14,-0.252793741481296,-0.646535074504512,-0.400354050154724,-0.515128376977415,NA,NA
"QMP_ratio","numeric",154,0,53,0.363263636363636,0.3333,0.3333,NA,0.204497032216566,NA,0,0.9231,0.9231,0.369859819155257,0.945938551850826,-0.439565031771222,-0.565580443871684,NA,NA
"op_REV_count","numeric",154,0,5,4.04545454545455,4,4,NA,1.06237438529065,NA,1,5,4,-0.869539330972374,-2.22389871220931,-0.145059434551205,-0.186645373155948,NA,NA
"op_REV_total","numeric",154,0,1,5,5,5,NA,0,NA,5,5,0,NA,NA,NA,NA,NA,NA
"op_REV_ratio","numeric",154,0,5,0.190909090909091,0.2,0.2,NA,0.21247487705813,NA,0,0.8,0.8,0.869539330972373,2.22389871220931,-0.145059434551207,-0.186645373155951,NA,NA
"sel_REV_count","numeric",154,0,5,1.81818181818182,2,2,NA,0.727198451346754,NA,0,4,4,0.895921793255795,2.2913734333716,1.74555581258672,2.2459753618423,NA,NA
"sel_REV_total","numeric",154,0,3,2.93506493506493,3,3,NA,0.954352428533286,NA,2,4,2,0.128406876371358,0.328408246561713,-1.8967676185522,-2.44053688096948,NA,NA
"sel_REV_ratio","numeric",154,0,7,0.325757142857143,0.5,0.5,NA,0.289047776284112,NA,0,1,1,0.0554364303766834,0.141781977804641,-1.45672277211655,-1.87433906817337,NA,NA
"quant_REV_count","numeric",154,0,5,2.16233766233766,2,2,NA,0.804162205378495,NA,0,4,4,0.226700588737315,0.579800279748387,0.594007173628659,0.764298378262983,NA,NA
"quant_REV_total","numeric",154,0,4,2.77272727272727,3,3,NA,0.874644482567245,NA,1,4,3,0.219439759837146,0.561230276684119,-1.25941669089186,-1.62046887165664,NA,NA
"quant_REV_ratio","numeric",154,0,7,0.175321428571429,0,0,NA,0.259384616121116,NA,0,1,1,1.28249703710671,3.28006268105714,0.702918491938183,0.904432618477547,NA,NA
"mod_REV_count","numeric",154,0,5,0.61038961038961,0,0,NA,1.01177181229405,NA,0,4,4,1.46814968576725,3.75488040530282,1.18110676306592,1.51970889181729,NA,NA
"mod_REV_total","numeric",154,0,5,0.688311688311688,0,0,NA,1.11741695905574,NA,0,4,4,1.43949192263847,3.68158646649313,1.04344316166102,1.34257960454476,NA,NA
"mod_REV_ratio","numeric",50,0.675324675324675,6,0.104998,0,0,NA,0.235586011408633,NA,0,1,1,2.47558156274252,3.67732672550139,5.898659980956,4.45579796847692,NA,NA
"MP_REV_count","numeric",154,0,11,9.23376623376623,9,9,NA,2.30030463396666,NA,4,14,10,-0.115087799911512,-0.294343913952693,-0.351055175297566,-0.451696398751726,NA,NA
"MP_REV_total","numeric",154,0,9,12.3051948051948,12,12,NA,2.12771294588898,NA,9,17,8,0.19983570245317,0.511091730424748,-1.05191011271851,-1.35347387863667,NA,NA
"QMP_REV_ratio","numeric",154,0,44,0.241127272727273,0.2143,0.2143,NA,0.171864162911198,NA,0,0.7143,0.7143,0.668020806256701,1.70850306345775,-0.180401341746375,-0.232119171374546,NA,NA
"reliability_reported","logical",73,0.525974025974026,3,NA,NA,81,NA,NA,0.357290298367424,NA,NA,NA,NA,NA,NA,NA,NA,NA
