"RecordedDate","Vignette"
"Recorded Date","Are the measure's question(s) and response option(s) inseperably tied to a vignette describing some form of quoted text, visual, imagined scenario, cognitive task, or game?"
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1""}"
"2023-04-27 06:57:23","True"
"2023-04-27 06:57:39","True"
"2023-04-27 06:58:04","False"
"2023-04-27 06:58:52","True"
"2023-04-27 06:59:04","False"
"2023-04-27 06:59:43","False"
"2023-04-27 06:59:54","False"
"2023-04-27 07:00:23","True"
"2023-04-27 07:01:07","True"
"2023-04-27 07:02:03","True"
"2023-04-27 07:02:31","True"
"2023-04-27 07:03:37","True"
"2023-04-27 07:03:58","False"
"2023-04-27 07:04:17","False"
"2023-04-27 07:41:36","True"
"2023-04-27 07:42:03","False"
"2023-04-27 07:42:25","True"
"2023-04-27 07:42:45","False"
"2023-04-27 07:43:07","False"
"2023-04-27 07:43:44","True"
"2023-04-27 07:44:13","True"
"2023-04-27 07:44:39","True"
"2023-04-27 07:44:53","False"
"2023-04-27 07:45:15","True"
"2023-04-27 07:45:47","False"
"2023-04-27 07:47:10","True"
"2023-04-27 07:48:06","False"
"2023-04-27 07:48:19","False"
"2023-04-27 07:49:02","True"
"2023-04-27 07:49:13","True"
"2023-04-27 07:49:53","True"
"2023-04-27 07:50:13","True"
"2023-04-27 07:50:39","True"
"2023-04-27 07:51:39","False"
"2023-04-27 07:51:50","False"
"2023-04-27 07:52:09","True"
"2023-04-27 07:52:32","True"
"2023-04-27 07:52:52","True"
"2023-04-27 07:54:04","False"
"2023-04-27 07:54:36","False"
"2023-04-27 07:55:15","False"
"2023-04-27 07:55:47","True"
"2023-04-27 07:56:09","True"
"2023-04-27 07:56:34","False"
"2023-04-27 07:58:54","True"
"2023-04-27 07:59:20","False"
"2023-04-27 07:59:32","True"
"2023-04-27 07:59:55","False"
"2023-04-27 08:00:11","False"
"2023-04-27 08:00:51","True"
"2023-04-27 08:01:52","False"
"2023-04-27 08:02:05","False"
"2023-04-27 08:03:17","True"
"2023-04-27 08:03:29","False"
"2023-04-27 08:03:47","False"
"2023-04-27 08:04:28","True"
"2023-04-27 08:04:41","False"
"2023-04-27 08:05:12","True"
"2023-04-27 08:06:02","False"
"2023-04-27 08:06:14","False"
"2023-04-27 08:07:55","True"
"2023-04-27 08:08:24","True"
"2023-04-27 08:09:17","True"
"2023-04-27 08:09:39","True"
"2023-04-27 08:10:15","True"
"2023-04-27 08:10:28","True"
"2023-04-27 08:11:23","True"
"2023-04-27 08:12:04","True"
"2023-04-27 08:12:24","True"
"2023-04-27 08:13:30","False"
"2023-04-27 08:14:03","True"
"2023-04-27 08:14:23","True"
"2023-04-27 08:14:39","True"
"2023-04-27 08:15:17","False"
"2023-04-27 08:15:34","True"
"2023-04-27 08:15:47","False"
"2023-04-27 08:16:34",""
"2023-04-27 08:16:55","False"
"2023-04-27 08:17:09","True"
"2023-04-27 08:17:23","True"
"2023-04-27 08:17:42","True"
"2023-04-27 08:18:06","False"
"2023-04-27 08:18:54","True"
"2023-04-27 08:19:07","False"
"2023-04-27 08:19:19","False"
"2023-04-27 08:19:42","True"
"2023-04-27 08:20:19","False"
"2023-04-27 08:20:38","True"
"2023-04-27 08:21:18","False"
"2023-04-27 08:21:33","False"
"2023-04-27 08:21:50","True"
"2023-04-27 08:22:07","True"
"2023-04-27 08:22:54","True"
"2023-04-27 08:23:06","False"
"2023-04-27 08:23:25","True"
"2023-04-27 08:23:47","True"
"2023-04-27 08:23:58","False"
"2023-04-27 08:25:08","True"
"2023-04-27 08:25:22","False"
"2023-04-27 08:25:40","False"
"2023-04-27 08:25:52","False"
"2023-04-27 08:26:25","True"
"2023-04-27 08:26:43","True"
"2023-04-27 08:27:00","True"
"2023-04-27 08:27:48","True"
"2023-04-27 08:28:06","True"
"2023-04-27 08:29:21","False"
"2023-04-27 08:29:33","False"
"2023-04-27 08:29:49","True"
"2023-04-27 08:30:09","True"
"2023-04-27 08:30:45","True"
"2023-04-27 08:31:57","False"
"2023-04-27 08:32:54","False"
"2023-04-27 08:33:13","False"
"2023-04-27 08:33:24","False"
"2023-04-27 08:33:40","False"
"2023-04-27 08:33:54","True"
"2023-04-27 08:34:19","True"
"2023-04-27 08:34:31","False"
"2023-04-27 08:35:13","True"
"2023-04-27 08:35:42","False"
"2023-04-27 08:35:56","True"
"2023-04-27 08:36:36","False"
"2023-04-27 08:36:50","False"
"2023-04-27 08:37:08","False"
"2023-04-27 08:37:56","True"
"2023-04-27 08:38:09","False"
"2023-04-27 08:38:22","False"
"2023-04-27 08:38:51","True"
"2023-04-27 08:39:08","False"
"2023-04-27 08:39:21","False"
"2023-04-27 08:39:34","False"
"2023-04-27 08:39:56","False"
"2023-04-27 08:40:08","True"
"2023-04-27 08:40:45","False"
"2023-04-27 08:41:02","False"
"2023-04-27 08:41:53","True"
"2023-04-27 08:43:06","True"
"2023-04-27 08:43:40","True"
"2023-04-27 08:43:55","True"
"2023-04-27 08:44:18","True"
"2023-04-27 08:44:31","True"
"2023-04-27 08:44:47","True"
"2023-04-27 08:45:01","True"
"2023-04-27 08:45:13","True"
"2023-04-27 08:45:33","False"
"2023-04-27 08:45:56","True"
"2023-04-27 08:46:54","True"
"2023-04-27 08:47:07","False"
"2023-04-27 08:47:18","False"
"2023-04-27 08:47:30","False"
"2023-04-27 08:47:40","False"
"2023-04-27 08:47:54","False"
"2023-04-27 08:48:10","False"
"2023-04-27 08:48:21","False"
"2023-04-27 08:48:33","False"
"2023-04-27 08:48:44","False"
"2023-04-27 13:31:36","False"
